"Aguascalientes","Alabama","Alaska","Alberta","Arizona","Arkansas","Baja California","Baja California Sur","British Columbia","California","Campeche","Chiapas","Chihuahua","Coahuila de Zaragoza","Colima","Colorado","Connecticut","Delaware","District of Columbia","Distrito Federal","Durango","Estado de Mexico","Florida","Georgia","Guanajuato","Guerrero","Hawaii","Hidalgo","Idaho","Illinois","Indiana","Iowa","Jalisco","Kansas","Kentucky","Louisiana","Maine","Manitoba","Maryland","Massachusetts","Michigan","Michoacan de Ocampo","Minnesota","Mississippi","Missouri","Montana","Morelos","Nayarit","Nebraska","Nevada","New Brunswick","New Hampshire","New Jersey","New Mexico","New York","Newfoundland and Labrador","North Carolina","North Dakota","Northwest Territories","Nova Scotia","Nuevo Leon","Nunavut","Oaxaca","Ohio","Oklahoma","Ontario","Oregon","Pennsylvania","Prince Edward Island","Puebla","Quebec","Queretaro","Quintana Roo","Rhode Island","San Luis Potosi","Saskatchewan","Sinaloa","Sonora","South Carolina","South Dakota","Tabasco","Tamaulipas","Tennessee","Texas","Tlaxcala","Utah","Veracruz de Ignacio de la Llave","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Yucatan","Yukon","Zacatecas"
1412657,0,0,0,0,0,0,10,0,0,0,0,80,140,60,0,0,0,0,150,40,570,0,0,360,20,0,280,0,0,0,0,8840,0,0,0,0,0,0,0,0,140,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,60,0,100,0,0,0,0,0,0,250,0,210,0,0,680,0,20,10,0,0,10,30,0,0,250,0,160,0,0,0,0,0,0,0,0,25330
0,4933727,0,0,72,123,0,0,0,191,0,0,0,0,0,196,29,0,16,0,0,0,8993,12228,0,0,0,0,6,285,333,54,0,52,326,692,16,0,169,56,238,0,25,8040,87,0,0,0,5,11,0,19,48,3,197,0,568,0,0,0,0,0,0,332,130,0,0,240,0,0,0,0,0,0,0,0,0,0,669,21,0,0,10262,893,0,86,0,5,159,57,15,76,31,0,0,0
0,99,732159,0,456,107,0,0,0,734,0,0,0,0,0,392,67,0,0,0,0,0,245,133,0,0,86,0,595,44,133,14,0,36,63,183,6,0,77,17,82,0,133,175,43,301,0,0,30,217,0,31,24,19,21,0,157,12,0,0,0,0,0,91,162,0,648,80,0,0,0,0,0,0,0,0,0,0,87,29,0,0,108,957,0,189,0,9,52,2268,0,91,97,0,0,0
0,0,0,4407783,0,0,0,0,26820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,1,0,0,0,0,5060,0,0,0,0,6380,0,0,0,6100,0,0,0,0,0,11320,0,0,740,0,1160,0,0,0,0,25440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
0,146,30,0,7105998,283,8632,0,0,6599,0,0,1489,0,0,1358,46,38,0,0,0,0,629,426,0,0,124,0,156,437,124,88,0,34,62,124,116,0,65,151,309,0,197,75,323,172,0,0,84,1381,0,28,228,2285,272,0,500,22,0,0,0,0,0,342,207,0,443,310,0,0,0,0,0,54,0,0,0,3461,123,27,0,0,204,1426,0,1366,0,19,319,424,0,189,32,0,0,0
0,285,0,0,124,2965961,0,0,0,327,0,0,0,0,0,114,0,22,17,0,0,0,296,504,0,0,0,0,2,468,193,127,0,221,250,2807,12,0,45,34,167,0,92,1684,9662,0,0,0,45,6,0,0,65,0,46,0,180,0,0,0,0,0,0,204,14369,0,60,196,0,0,0,0,0,0,0,0,0,0,79,17,0,0,3932,7274,0,28,0,0,56,45,9,74,0,0,0,0
50,0,0,0,644,0,3735200,240,0,2195,0,450,170,90,40,0,0,0,0,210,90,570,0,0,270,420,0,260,0,0,0,0,410,0,0,0,0,0,0,0,0,280,0,0,0,0,30,300,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1540,0,0,0,0,0,0,2490,0,70,0,0,180,0,620,3390,0,0,30,50,0,0,220,0,2220,0,0,0,0,0,0,60,0,50
20,0,0,0,0,0,230,797217,0,0,0,70,260,40,20,0,0,0,0,40,60,320,0,0,40,870,0,170,0,0,0,0,190,0,0,0,0,0,0,0,0,50,0,0,0,0,30,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,750,0,0,0,0,30,0,280,130,0,0,0,10,0,0,530,0,1800,0,0,0,0,0,0,30,0,20
0,0,0,13380,0,0,0,0,5164065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,30,0,0,0,0,80,0,0,0,0,80,0,0,0,260,0,0,0,0,0,5920,0,0,100,0,620,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,220,0
0,515,82,0,11208,519,22998,0,0,39466089,0,0,0,0,0,2893,701,25,203,0,0,0,2456,1639,0,0,982,0,915,2121,772,225,0,443,370,687,115,0,759,1227,1089,0,899,334,689,440,0,0,236,14915,0,189,1320,608,2463,0,1387,28,0,0,0,0,0,1311,650,0,4485,1318,0,0,0,0,0,124,0,0,0,9221,455,171,0,0,732,6088,0,1668,0,32,1259,4747,137,677,150,0,0,0
10,0,0,0,0,0,20,10,0,0,918993,2870,20,30,40,0,0,0,0,360,40,700,0,0,300,90,0,410,0,0,0,0,140,0,0,0,0,0,0,0,0,100,0,0,0,0,150,60,0,0,0,0,0,0,0,0,0,0,0,0,150,0,2720,0,0,0,0,0,0,970,0,60,400,0,240,0,470,50,0,0,11930,2020,0,0,430,0,17460,0,0,0,0,0,0,10040,0,10
20,0,0,0,0,0,40,0,0,0,110,5490838,10,10,30,0,0,0,0,210,20,600,0,0,20,300,0,380,0,0,0,0,70,0,0,0,0,0,0,0,0,190,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1980,0,0,0,0,0,0,1240,0,70,100,0,20,0,90,30,0,0,6770,70,0,0,570,0,1980,0,0,0,0,0,0,240,0,10
140,0,0,0,255,0,30,10,0,0,30,100,3722029,1400,60,0,0,0,0,160,2000,710,0,0,250,70,0,350,0,0,0,0,130,0,0,0,0,0,0,0,0,100,0,0,0,0,50,60,0,0,0,0,0,62,0,0,0,0,0,0,190,0,200,0,0,0,0,0,0,570,0,150,0,0,350,0,500,890,0,0,20,20,0,3021,460,0,860,0,0,0,0,0,0,60,0,650
130,0,0,0,0,0,20,10,0,0,10,130,1020,3109151,70,0,0,0,0,110,22380,700,0,0,300,130,0,980,0,0,0,0,190,0,0,0,0,0,0,0,0,260,0,0,0,0,70,20,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,240,0,0,0,0,0,0,550,0,150,10,0,880,0,100,30,0,0,60,260,0,1911,280,0,1070,0,0,0,0,0,0,10,0,1760
50,0,0,0,0,0,10,10,0,0,0,70,10,10,724141,0,0,0,0,60,40,380,0,0,80,430,0,340,0,0,0,0,11470,0,0,0,0,0,0,0,0,1640,0,0,0,0,10,230,0,0,0,0,0,0,0,0,0,0,0,0,40,0,140,0,0,0,0,0,0,180,0,10,0,0,60,0,90,20,0,0,10,40,0,0,130,0,220,0,0,0,0,0,0,10,0,120
0,164,64,0,1233,258,0,0,0,1587,0,0,0,0,0,5741105,84,11,14,0,0,0,747,366,0,0,32,0,359,471,289,240,0,695,143,204,18,0,157,130,271,0,286,78,476,304,0,0,742,432,0,64,208,2189,251,0,267,66,0,0,0,0,0,369,421,0,303,308,0,0,0,0,0,0,0,0,0,0,49,156,0,0,572,2467,0,1072,0,8,219,274,24,260,1764,0,0,0
0,18,3,0,119,0,0,0,0,469,0,0,0,0,0,172,3492205,35,0,0,0,0,942,285,0,0,13,0,4,323,103,0,0,6,11,102,330,0,162,29883,342,0,31,43,52,5,0,0,7,28,0,651,3604,10,45490,0,324,0,0,0,0,0,0,265,11,0,43,1194,0,0,0,0,0,10420,0,0,0,0,277,16,0,0,41,398,0,40,0,340,334,67,66,125,31,0,0,0
0,0,20,0,16,4,0,0,0,78,0,0,0,0,0,0,39,926715,7,0,0,0,351,69,0,0,5,0,0,99,10,0,0,30,9,0,12,0,19593,54,40,0,14,23,42,0,0,0,5,10,0,55,8397,0,364,0,189,0,0,0,0,0,0,109,14,0,6,31905,0,0,0,0,0,14,0,0,0,0,20,0,0,0,28,82,0,8,0,0,384,13,4,18,0,0,0,0
0,239,42,0,215,81,0,0,0,856,0,0,0,0,0,257,296,1026,607078,0,0,0,1168,702,0,0,21,0,39,488,202,15,0,36,162,24,32,0,320762,552,192,0,162,57,185,2,0,0,17,176,0,98,836,33,1060,0,946,45,0,0,0,0,0,410,9,0,68,2053,0,0,0,0,0,87,0,0,0,0,208,92,0,0,127,561,0,41,0,15,228039,480,1627,75,13,0,0,0
700,0,0,0,0,0,220,270,0,0,210,4180,450,680,320,0,0,0,0,9093514,310,1059180,0,0,2530,3930,0,50240,0,0,0,0,2140,0,0,0,0,0,0,0,0,10780,0,0,0,0,19450,260,0,0,0,0,0,0,0,0,0,0,0,0,1380,0,10840,0,0,0,0,0,0,38800,0,3790,420,0,1020,0,410,490,0,0,340,510,0,0,29060,0,33870,0,0,0,0,0,0,1000,0,410
110,0,0,0,0,0,20,10,0,0,10,30,1190,15630,10,0,0,0,0,60,1799440,490,0,0,180,0,0,310,0,0,0,0,130,0,0,0,0,0,0,0,0,150,0,0,0,0,30,120,0,0,0,0,0,0,0,0,0,0,0,0,130,0,50,0,0,0,0,0,0,150,0,60,0,0,250,0,790,70,0,0,20,0,0,0,60,0,230,0,0,0,0,0,0,0,0,1760
370,0,0,0,0,0,100,90,0,0,160,2110,160,350,70,0,0,0,0,101260,250,15807798,0,0,2060,6490,0,61160,0,0,0,0,1290,0,0,0,0,0,0,0,0,15950,0,0,0,0,13670,130,0,0,0,0,0,0,0,0,0,0,0,0,600,0,7810,0,0,0,0,0,0,33020,0,2970,120,0,790,0,130,220,0,0,170,330,0,0,23970,0,26140,0,0,0,0,0,0,380,0,300
