Statecodes,Latitude,Longitude
Aguascalientes,21.8823,-102.2826
Alabama,32.31823,-86.902298
Alaska,66.160507,-153.369141
Alberta,54.7267,-113.5839
Arizona,34.048927,-111.093735
Arkansas,34.799999,-92.199997
Baja California,30.8406,-115.2838
Baja California Sur,26.0444,-111.6661
British Columbia,53.7267,-127.6476
California,36.778259,-119.417931
Campeche,19,-90
Chiapas,16.7571,-93.1292
Chihuahua,28.632,-106.0691
Coahuila de Zaragoza,27.0587,-101.7068
Colima,19.1223,-104.0075
Colorado,39.113014,-105.358887
Connecticut,41.599998,-72.699997
Delaware,39,-75.5
District of Columbia,38.9072,-77.0369
Distrito Federal,19.25,-99.1309882
Durango,24.8286,-104.8983
Estado de Mexico,19.3597,-99.764
Florida,27.994402,-81.760254
Georgia,33.247875,-83.441162
Guanajuato,21.1619,-101
Guerrero,17.66,-99.8445
Hawaii,19.741755,-155.844437
Hidalgo,20.4807,-98.882
Idaho,44.068203,-114.742043
Illinois,40,-89
Indiana,40.273502,-86.126976
Iowa,42.032974,-93.581543
Jalisco,20.4962,-103.3781
Kansas,38.5,-98
Kentucky,37.839333,-84.27002
Louisiana,30.39183,-92.329102
Maine,45.367584,-68.972168
Manitoba,49.8951,-97.1384
Maryland,39.045753,-76.641273
Massachusetts,42.407211,-71.382439
Michigan,44.182205,-84.506836
Michoacan de Ocampo,19.5665,-101.9581
Minnesota,46.39241,-94.63623
Mississippi,33,-90
Missouri,38.573936,-92.60376
Montana,46.96526,-109.533691
Morelos,18.6818,-99.1013
Nayarit,21.819,-104.8305
Nebraska,41.5,-100
Nevada,39.876019,-117.224121
New Brunswick,46.8139,-66.6765
New Hampshire,44,-71.5
New Jersey,39.833851,-74.871826
New Mexico,34.307144,-106.018066
New York,43,-75
Newfoundland and Labrador,53.1355,-57.6604
North Carolina,35.782169,-80.793457
North Dakota,47.650589,-100.437012
Northwest Territories,64.8255,-119.4793
Nova Scotia,44.6819,-63.7443
Nuevo Leon,25.4383,-99.9736
Nunavut,64.8255,-94.2744
Oaxaca,17.0732,-96.7266
Ohio,40.367474,-82.996216
Oklahoma,36.084621,-96.921387
Ontario,50.5657,-86.8016
Oregon,44,-120.5
Pennsylvania,41.203323,-77.194527
Prince Edward Island,46.5107,-63.4168
Puebla,18.5,-98.2062
Quebec,52.9399,-73.5491
Queretaro,20.5881,-100
Quintana Roo,19.3491,-88.112
Rhode Island,41.742325,-71.742332
San Luis Potosi,22.3782,-100.949
Saskatchewan,54.2174,-106.2997
Sinaloa,25.1721,-107.4795
Sonora,29.0892,-110.9611
South Carolina,33.836082,-81.163727
South Dakota,44.5,-100
Tabasco,17.9875,-92.9346
Tamaulipas,24.2669,-98.8363
Tennessee,35.860119,-86.660156
Texas,31,-100
Tlaxcala,19.4,-98.2404
Utah,39.41922,-111.950684
Veracruz de Ignacio de la Llave,19.1728,-96.3
Vermont,44,-72.699997
Virginia,37.926868,-78.024902
Washington,47.751076,-120.740135
West Virginia,39,-80.5
Wisconsin,44.5,-89.5
Wyoming,43.07597,-107.290283
Yucatan,20.7099,-89.0943
Yukon,63.6255,-135.2968
Zacatecas,23.6345,-102.5528
