"State_Pair","State1","State2","Country1","Country2","Total_Passengers","Number_of_Routes"
"Mexico City-Quintana Roo","Mexico City","Quintana Roo","Mexico","Mexico",4570151,10
"Jalisco-Mexico City","Jalisco","Mexico City","Mexico","Mexico",3543209,8
"Mexico City-Nuevo León","Mexico City","Nuevo León","Mexico","Mexico",3175320,4
"California-Jalisco","California","Jalisco","United States","Mexico",2624313,31
"Baja California-Mexico City","Baja California","Mexico City","Mexico","Mexico",2214383,5
"Quintana Roo-Texas","Quintana Roo","Texas","Mexico","United States",1842332,17
"Mexico City-Texas","Mexico City","Texas","Mexico","United States",1829934,18
"Baja California-Jalisco","Baja California","Jalisco","Mexico","Mexico",1778488,7
"California-Mexico City","California","Mexico City","United States","Mexico",1588389,18
"Mexico City-Yucatán","Mexico City","Yucatán","Mexico","Mexico",1414069,4
"Florida-Mexico City","Florida","Mexico City","United States","Mexico",1315807,11
"Chihuahua-Mexico City","Chihuahua","Mexico City","Mexico","Mexico",1289295,6
"Mexico City-Oaxaca","Mexico City","Oaxaca","Mexico","Mexico",1266775,9
"Chiapas-Mexico City","Chiapas","Mexico City","Mexico","Mexico",1235985,9
"Mexico City-Sinaloa","Mexico City","Sinaloa","Mexico","Mexico",1075928,9
"Florida-Quintana Roo","Florida","Quintana Roo","United States","Mexico",1003505,15
"Jalisco-Texas","Jalisco","Texas","Mexico","United States",963784,19
"Nuevo León-Quintana Roo","Nuevo León","Quintana Roo","Mexico","Mexico",956063,4
"Mexico City-Tamaulipas","Mexico City","Tamaulipas","Mexico","Mexico",950733,12
"Jalisco-Nuevo León","Jalisco","Nuevo León","Mexico","Mexico",826422,8
"Mexico City-Sonora","Mexico City","Sonora","Mexico","Mexico",817240,6
"Baja California-Sinaloa","Baja California","Sinaloa","Mexico","Mexico",810750,10
"Mexico City-Veracruz","Mexico City","Veracruz","Mexico","Mexico",809645,12
"Guerrero-Mexico City","Guerrero","Mexico City","Mexico","Mexico",807161,8
"Mexico City-Tabasco","Mexico City","Tabasco","Mexico","Mexico",804267,2
"Georgia-Quintana Roo","Georgia","Quintana Roo","United States","Mexico",793111,6
"Ontario-Quintana Roo","Ontario","Quintana Roo","Canada","Mexico",783776,24
"California-Quintana Roo","California","Quintana Roo","United States","Mexico",726442,12
"Illinois-Quintana Roo","Illinois","Quintana Roo","United States","Mexico",712820,10
"Mexico City-New York","Mexico City","New York","Mexico","United States",677143,4
