State_Pair,State1,State2,Total_Passengers
Florida-New York,Florida,New York,6150390
California-Texas,California,Texas,5006640
California-Nevada,California,Nevada,4150910
California-Washington,California,Washington,3736450
California-New York,California,New York,3237100
Florida-Texas,Florida,Texas,3139880
California-Illinois,California,Illinois,3083380
Florida-Illinois,Florida,Illinois,3042840
Florida-Georgia,Florida,Georgia,2984170
Arizona-California,Arizona,California,2980650
California-Colorado,California,Colorado,2808550
Florida-Pennsylvania,Florida,Pennsylvania,2778940
California-Florida,California,Florida,2607230
California-Oregon,California,Oregon,2248540
Florida-New Jersey,Florida,New Jersey,2222280
Florida-North Carolina,Florida,North Carolina,1962450
Illinois-New York,Illinois,New York,1875970
Illinois-Texas,Illinois,Texas,1764390
Colorado-Texas,Colorado,Texas,1757430
Florida-Ohio,Florida,Ohio,1622660
Florida-Massachusetts,Florida,Massachusetts,1556640
New York-Texas,New York,Texas,1552280
California-New Jersey,California,New Jersey,1529250
Nevada-Texas,Nevada,Texas,1509900
California-Massachusetts,California,Massachusetts,1487420
Georgia-Texas,Georgia,Texas,1483470
Florida-Michigan,Florida,Michigan,1477360
Florida-Maryland,Florida,Maryland,1384200
California-Georgia,California,Georgia,1322070
California-Utah,California,Utah,1280370
District of Columbia-Florida,District of Columbia,Florida,1235320
Florida-Tennessee,Florida,Tennessee,1219950
Arizona-Texas,Arizona,Texas,1215830
Georgia-New York,Georgia,New York,1204600
California-Virginia,California,Virginia,1151110
Colorado-Florida,Colorado,Florida,1149620
New York-North Carolina,New York,North Carolina,1123720
Florida-Kentucky,Florida,Kentucky,1105880
Florida-Indiana,Florida,Indiana,1055150
Florida-Missouri,Florida,Missouri,1031080
California-Pennsylvania,California,Pennsylvania,990030
Missouri-Texas,Missouri,Texas,961310
California-Missouri,California,Missouri,934820
Louisiana-Texas,Louisiana,Texas,926430
North Carolina-Texas,North Carolina,Texas,901310
Arizona-Illinois,Arizona,Illinois,891860
Illinois-Nevada,Illinois,Nevada,891010
Florida-Virginia,Florida,Virginia,874510
Colorado-Illinois,Colorado,Illinois,869800
California-Minnesota,California,Minnesota,867350
Illinois-Pennsylvania,Illinois,Pennsylvania,865500
Georgia-Illinois,Georgia,Illinois,861540
California-North Carolina,California,North Carolina,852140
Arizona-Colorado,Arizona,Colorado,848090
Pennsylvania-Texas,Pennsylvania,Texas,826890
Nevada-Washington,Nevada,Washington,795830
Tennessee-Texas,Tennessee,Texas,795130
Georgia-North Carolina,Georgia,North Carolina,793480
Massachusetts-New York,Massachusetts,New York,789720
Florida-Nevada,Florida,Nevada,782000
Georgia-Pennsylvania,Georgia,Pennsylvania,743320
Illinois-Massachusetts,Illinois,Massachusetts,739190
Texas-Washington,Texas,Washington,732270
Illinois-Minnesota,Illinois,Minnesota,723570
Nevada-New York,Nevada,New York,689560
Massachusetts-Texas,Massachusetts,Texas,687770
California-Michigan,California,Michigan,681630
California-Maryland,California,Maryland,676840
Colorado-Nevada,Colorado,Nevada,675940
District of Columbia-Texas,District of Columbia,Texas,667960
Illinois-Ohio,Illinois,Ohio,660470
Alaska-Washington,Alaska,Washington,657990
Arizona-Washington,Arizona,Washington,657040
Florida-Minnesota,Florida,Minnesota,655670
New Jersey-Texas,New Jersey,Texas,643840
Illinois-North Carolina,Illinois,North Carolina,636500
Illinois-Missouri,Illinois,Missouri,630770
Colorado-New York,Colorado,New York,630180
California-Tennessee,California,Tennessee,626220
Georgia-Virginia,Georgia,Virginia,623970
Connecticut-Florida,Connecticut,Florida,620520
North Carolina-Pennsylvania,North Carolina,Pennsylvania,613030
Maryland-Texas,Maryland,Texas,612600
Oklahoma-Texas,Oklahoma,Texas,609880
California-Ohio,California,Ohio,608710
Illinois-Michigan,Illinois,Michigan,608170
Michigan-Texas,Michigan,Texas,587100
California-District of Columbia,California,District of Columbia,584230
Georgia-Ohio,Georgia,Ohio,580650
Colorado-Washington,Colorado,Washington,557550
District of Columbia-Illinois,District of Columbia,Illinois,550670
Illinois-New Jersey,Illinois,New Jersey,546230
Texas-Virginia,Texas,Virginia,530140
Michigan-New York,Michigan,New York,529320
Illinois-Washington,Illinois,Washington,517740
Oregon-Washington,Oregon,Washington,509260
