dataset,truth_id,nick,strain,beta,seed_loc,loc_row,loc_name,country,week,week_date,truth_100k
real,tr00,real,,NaN,,84,Texas,US,1,2020-01-20,0
real,tr00,real,,NaN,,10,California,US,1,2020-01-20,0
real,tr00,real,,NaN,,66,Ontario,CA,1,2020-01-20,0
real,tr00,real,,NaN,,22,Estado de Mexico,MX,1,2020-01-20,0
real,tr00,real,,NaN,,55,New York,US,1,2020-01-20,0
real,tr00,real,,NaN,,84,Texas,US,2,2020-01-27,0
real,tr00,real,,NaN,,10,California,US,2,2020-01-27,0
real,tr00,real,,NaN,,66,Ontario,CA,2,2020-01-27,0
real,tr00,real,,NaN,,22,Estado de Mexico,MX,2,2020-01-27,0
real,tr00,real,,NaN,,55,New York,US,2,2020-01-27,0
real,tr00,real,,NaN,,84,Texas,US,3,2020-02-03,0
real,tr00,real,,NaN,,10,California,US,3,2020-02-03,0
real,tr00,real,,NaN,,66,Ontario,CA,3,2020-02-03,0
real,tr00,real,,NaN,,22,Estado de Mexico,MX,3,2020-02-03,0
real,tr00,real,,NaN,,55,New York,US,3,2020-02-03,0
real,tr00,real,,NaN,,84,Texas,US,4,2020-02-10,0
real,tr00,real,,NaN,,10,California,US,4,2020-02-10,0
real,tr00,real,,NaN,,66,Ontario,CA,4,2020-02-10,0
real,tr00,real,,NaN,,22,Estado de Mexico,MX,4,2020-02-10,0
real,tr00,real,,NaN,,55,New York,US,4,2020-02-10,0
real,tr00,real,,NaN,,84,Texas,US,5,2020-02-17,0
real,tr00,real,,NaN,,10,California,US,5,2020-02-17,0
real,tr00,real,,NaN,,66,Ontario,CA,5,2020-02-17,0
real,tr00,real,,NaN,,22,Estado de Mexico,MX,5,2020-02-17,0
real,tr00,real,,NaN,,55,New York,US,5,2020-02-17,0
real,tr00,real,,NaN,,84,Texas,US,6,2020-02-24,0
real,tr00,real,,NaN,,10,California,US,6,2020-02-24,0
real,tr00,real,,NaN,,66,Ontario,CA,6,2020-02-24,0
