dataset,truth_id,nick,strain,beta,seed_loc,loc_row,loc_name,country,week,week_date,truth_100k
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,1,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,1,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,1,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,1,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,1,NaT,35
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,2,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,2,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,2,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,2,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,2,NaT,37
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,3,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,3,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,3,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,3,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,3,NaT,45
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,4,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,4,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,4,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,4,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,4,NaT,53
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,5,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,5,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,5,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,5,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,5,NaT,68
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,6,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,6,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,6,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,6,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,6,NaT,86
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,7,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,7,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,7,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,7,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,7,NaT,106
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,8,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,8,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,8,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,8,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,8,NaT,133
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,9,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,9,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,9,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,9,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,9,NaT,165
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,10,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,10,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,10,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,10,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,10,NaT,203
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,11,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,11,NaT,2
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,11,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,11,NaT,0
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,11,NaT,242
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,12,NaT,2
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,12,NaT,3
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,12,NaT,2
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,12,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,12,NaT,280
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,13,NaT,3
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,13,NaT,3
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,13,NaT,2
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,13,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,13,NaT,336
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,14,NaT,4
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,14,NaT,5
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,14,NaT,3
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,14,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,14,NaT,385
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,15,NaT,6
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,15,NaT,6
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,15,NaT,4
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,15,NaT,2
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,15,NaT,436
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,16,NaT,7
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,16,NaT,9
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,16,NaT,6
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,16,NaT,3
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,16,NaT,460
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,17,NaT,9
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,17,NaT,11
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,17,NaT,8
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,17,NaT,4
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,17,NaT,511
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,18,NaT,13
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,18,NaT,15
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,18,NaT,10
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,18,NaT,5
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,18,NaT,562
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,19,NaT,18
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,19,NaT,21
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,19,NaT,13
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,19,NaT,7
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,19,NaT,562
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,20,NaT,22
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,20,NaT,27
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,20,NaT,17
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,20,NaT,9
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,20,NaT,571
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,21,NaT,30
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,21,NaT,36
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,21,NaT,24
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,21,NaT,12
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,21,NaT,561
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,22,NaT,40
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,22,NaT,49
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,22,NaT,33
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,22,NaT,16
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,22,NaT,525
