"State_Pair","State1","State2","Country1","Country2","Total_Passengers"
"Mexico City-Quintana Roo","Distrito Federal","Quintana Roo","Mexico","Mexico",4570151
"Jalisco-Mexico City","Jalisco","Distrito Federal","Mexico","Mexico",3543209
"Mexico City-Nuevo León","Distrito Federal","Nuevo Leon","Mexico","Mexico",3175320
"California-Jalisco","California","Jalisco","United States","Mexico",5248626
"Baja California-Mexico City","Baja California","Distrito Federal","Mexico","Mexico",2214383
"Quintana Roo-Texas","Quintana Roo","Texas","Mexico","United States",3684664
"Mexico City-Texas","Distrito Federal","Texas","Mexico","United States",3659868
"Baja California-Jalisco","Baja California","Jalisco","Mexico","Mexico",1778488
"California-Mexico City","California","Distrito Federal","United States","Mexico",3176778
"Mexico City-Yucatán","Distrito Federal","Yucatan","Mexico","Mexico",1414069
"Florida-Mexico City","Florida","Distrito Federal","United States","Mexico",2631614
"Chihuahua-Mexico City","Chihuahua","Distrito Federal","Mexico","Mexico",1289295
"Mexico City-Oaxaca","Distrito Federal","Oaxaca","Mexico","Mexico",1266775
"Chiapas-Mexico City","Chiapas","Distrito Federal","Mexico","Mexico",1235985
"Mexico City-Sinaloa","Distrito Federal","Sinaloa","Mexico","Mexico",1075928
"Florida-Quintana Roo","Florida","Quintana Roo","United States","Mexico",2007010
"Jalisco-Texas","Jalisco","Texas","Mexico","United States",1927568
"Nuevo León-Quintana Roo","Nuevo Leon","Quintana Roo","Mexico","Mexico",956063
"Mexico City-Tamaulipas","Distrito Federal","Tamaulipas","Mexico","Mexico",950733
"Jalisco-Nuevo León","Jalisco","Nuevo Leon","Mexico","Mexico",826422
"Mexico City-Sonora","Distrito Federal","Sonora","Mexico","Mexico",817240
"Baja California-Sinaloa","Baja California","Sinaloa","Mexico","Mexico",810750
"Mexico City-Veracruz","Distrito Federal","Veracruz de Ignacio de la Llave","Mexico","Mexico",809645
"Guerrero-Mexico City","Guerrero","Distrito Federal","Mexico","Mexico",807161
"Mexico City-Tabasco","Distrito Federal","Tabasco","Mexico","Mexico",804267
"Georgia-Quintana Roo","Georgia","Quintana Roo","United States","Mexico",1586222
"Ontario-Quintana Roo","Ontario","Quintana Roo","Canada","Mexico",1567552
"California-Quintana Roo","California","Quintana Roo","United States","Mexico",1452884
"Illinois-Quintana Roo","Illinois","Quintana Roo","United States","Mexico",1425640
"Mexico City-New York","Distrito Federal","New York","Mexico","United States",1354286
"Jalisco-Quintana Roo","Jalisco","Quintana Roo","Mexico","Mexico",649131
"New York-Quintana Roo","New York","Quintana Roo","United States","Mexico",1262208
"Nuevo León-Texas","Nuevo Leon","Texas","Mexico","United States",1254996
"Coahuila-Mexico City","Coahuila de Zaragoza","Distrito Federal","Mexico","Mexico",581481
"Quebec-Quintana Roo","Quebec","Quintana Roo","Canada","Mexico",998826
"Illinois-Mexico City","Illinois","Distrito Federal","United States","Mexico",986294
"Campeche-Mexico City","Campeche","Distrito Federal","Mexico","Mexico",462433
"Colorado-Quintana Roo","Colorado","Quintana Roo","United States","Mexico",909498
"Georgia-Mexico City","Georgia","Distrito Federal","United States","Mexico",880682
"New Jersey-Quintana Roo","New Jersey","Quintana Roo","United States","Mexico",813222
"North Carolina-Quintana Roo","North Carolina","Quintana Roo","United States","Mexico",788824
"Illinois-Jalisco","Illinois","Jalisco","United States","Mexico",787866
"Guanajuato-Mexico City","Guanajuato","Distrito Federal","Mexico","Mexico",386447
"Mexico City-Nevada","Distrito Federal","Nevada","Mexico","United States",768060
"Chihuahua-Nuevo León","Chihuahua","Nuevo Leon","Mexico","Mexico",379219
"Pennsylvania-Quintana Roo","Pennsylvania","Quintana Roo","United States","Mexico",700858
"Baja California-Guanajuato","Baja California","Guanajuato","Mexico","Mexico",322818
"Alberta-Quintana Roo","Alberta","Quintana Roo","Canada","Mexico",645522
"Aguascalientes-Mexico City","Aguascalientes","Distrito Federal","Mexico","Mexico",317514
"Jalisco-Sonora","Jalisco","Sonora","Mexico","Mexico",315631
"Minnesota-Quintana Roo","Minnesota","Quintana Roo","United States","Mexico",629866
"Baja California Sur-Mexico City","Baja California Sur","Distrito Federal","Mexico","Mexico",309065
"Chihuahua-Jalisco","Chihuahua","Jalisco","Mexico","Mexico",299423
"Baja California-Michoacán","Baja California","Michoacan de Ocampo","Mexico","Mexico",276823
"Guanajuato-Texas","Guanajuato","Texas","Mexico","United States",549980
"Mexico City-San Luis Potosí","Distrito Federal","San Luis Potosi","Mexico","Mexico",264747
"Arizona-Jalisco","Arizona","Jalisco","United States","Mexico",511368
"Guanajuato-Nuevo León","Guanajuato","Nuevo Leon","Mexico","Mexico",255593
"Nuevo León-Sinaloa","Nuevo Leon","Sinaloa","Mexico","Mexico",248936
"Baja California-Nuevo León","Baja California","Nuevo Leon","Mexico","Mexico",246541
"Durango-Mexico City","Durango","Distrito Federal","Mexico","Mexico",236920
"Mexico City-Ontario","Distrito Federal","Ontario","Mexico","Canada",456918
"Jalisco-Sinaloa","Jalisco","Sinaloa","Mexico","Mexico",227726
"New Hampshire-Quintana Roo","New Hampshire","Quintana Roo","United States","Mexico",453392
"Alberta-Jalisco","Alberta","Jalisco","Canada","Mexico",446012
"Michigan-Quintana Roo","Michigan","Quintana Roo","United States","Mexico",445792
"Nuevo León-Sonora","Nuevo Leon","Sonora","Mexico","Mexico",220963
"Quintana Roo-Veracruz","Quintana Roo","Veracruz de Ignacio de la Llave","Mexico","Mexico",209079
"District of Columbia-Quintana Roo","District of Columbia","Quintana Roo","United States","Mexico",415666
"Colorado-Jalisco","Colorado","Jalisco","United States","Mexico",413498
"Nuevo León-Querétaro","Nuevo Leon","Queretaro","Mexico","Mexico",205397
"Jalisco-Nevada","Jalisco","Nevada","Mexico","United States",406054
"Nuevo León-State of Mexico","Nuevo Leon","Estado de Mexico","Mexico","Mexico",199921
"Nuevo León-Veracruz","Nuevo Leon","Veracruz de Ignacio de la Llave","Mexico","Mexico",198660
"Baja California-Sonora","Baja California","Sonora","Mexico","Mexico",194872
"Maryland-Quintana Roo","Maryland","Quintana Roo","United States","Mexico",376474
"Baja California Sur-Jalisco","Baja California Sur","Jalisco","Mexico","Mexico",186540
"Querétaro-Texas","Queretaro","Texas","Mexico","United States",369952
"Georgia-Jalisco","Georgia","Jalisco","United States","Mexico",369496
"Nuevo León-Yucatán","Nuevo Leon","Yucatan","Mexico","Mexico",183561
"California-Guanajuato","California","Guanajuato","United States","Mexico",363844
"British Columbia-Quintana Roo","British Columbia","Quintana Roo","Canada","Mexico",350712
"Colima-Mexico City","Colima","Distrito Federal","Mexico","Mexico",166504
"British Columbia-Mexico City","British Columbia","Distrito Federal","Canada","Mexico",331772
"British Columbia-Jalisco","British Columbia","Jalisco","Canada","Mexico",321182
"Mexico City-Zacatecas","Distrito Federal","Zacatecas","Mexico","Mexico",155394
"Missouri-Quintana Roo","Missouri","Quintana Roo","United States","Mexico",308196
"District of Columbia-Mexico City","District of Columbia","Distrito Federal","United States","Mexico",306596
"Nuevo León-Tamaulipas","Nuevo Leon","Tamaulipas","Mexico","Mexico",152292
"Aguascalientes-Baja California","Aguascalientes","Baja California","Mexico","Mexico",150504
"Mexico City-New Jersey","Distrito Federal","New Jersey","Mexico","United States",298860
"Arizona-Quintana Roo","Arizona","Quintana Roo","United States","Mexico",294530
"Nuevo León-Tabasco","Nuevo Leon","Tabasco","Mexico","Mexico",129400
"Georgia-Nuevo León","Georgia","Nuevo Leon","United States","Mexico",257304
"Jalisco-State of Mexico","Jalisco","Estado de Mexico","Mexico","Mexico",127380
"Jalisco-Veracruz","Jalisco","Veracruz de Ignacio de la Llave","Mexico","Mexico",124617
"California-Michoacán","California","Michoacan de Ocampo","United States","Mexico",248372
"Jalisco-Yucatán","Jalisco","Yucatan","Mexico","Mexico",120697
"Baja California-Baja California Sur","Baja California","Baja California Sur","Mexico","Mexico",120207
"Baja California Sur-Sinaloa","Baja California Sur","Sinaloa","Mexico","Mexico",119900
"Quintana Roo-State of Mexico","Quintana Roo","Estado de Mexico","Mexico","Mexico",118911
"Mexico City-Michoacán","Distrito Federal","Michoacan de Ocampo","Mexico","Mexico",115066
"Mexico City-Quebec","Distrito Federal","Quebec","Mexico","Canada",229104
"Nuevo León-Puebla","Nuevo Leon","Puebla","Mexico","Mexico",114488
"Quintana Roo-Tamaulipas","Quintana Roo","Tamaulipas","Mexico","Mexico",114409
"Guanajuato-Quintana Roo","Guanajuato","Quintana Roo","Mexico","Mexico",113118
"San Luis Potosí-Texas","San Luis Potosi","Texas","Mexico","United States",223374
"Puebla-Quintana Roo","Puebla","Quintana Roo","Mexico","Mexico",109967
